time,type,thing,fisher,weight,worth,total
1717310643817,uncommon,Red Eye Fish,bleepbloopinbot,2.35,33,464
1717310809888,rare,Jellyfish Plushie,sasha5889,0.5,91,401
1717310940626,common,Salmon,le_bouffon_de_foucault,4.46,33,61
1717310962058,common,Trout,alfiMS,0.95,14,14
1717311088832,common,Perch,andrearghos,2.67,27,92
1717311163263,common,Perch,sirhunterr,3.27,33,166
1717311200277,junk,Trolley,necroso7,16.9,8,511
1717311276113,epic,Shrimp Toy,leonidovy4,1.05,105,149
1717311591862,epic,Lion Fish,sione89,1.12,135,507
1717311613925,uncommon,Koi,crayzeyez,11.6,46,314
1717311739339,common,Atlantic Cod,madagascaradam,44,33,252
1717311819837,common,Black Redeye,staggerrilla,33,24,551
1717311841043,junk,Nugget,bleepbloopinbot,0.23,2,466
1717311864296,common,Perch,necroso7,2.82,28,539
1717311953288,common,Salmon,crayzeyez,3.25,24,338
1717311974485,junk,Nugget,alfiMS,0.19,2,16
1717312011106,rare,Arapaima,lightb0011,101,101,442
1717312192768,rare,Emperor Angelfish,leonidovy4,1.54,72,221
1717312299956,common,Mussel,CHUCKY_XS,0.09,9,44
1717312557154,rare,Sailfish,necroso7,77,99,638
1717312669540,junk,Thong,t0x1nXz,0.2,2,2
1717312762951,uncommon,Murex Shellfish,lightb0011,0.56,44,486
1717312869127,common,Salmon,kolyaoleksyuk,3.98,30,30
1717312940872,uncommon,Scrapermouth Mbuna,leonidovy4,0.18,37,258
1717312962256,common,Mussel,sirhunterr,0.11,11,177
1717312984092,uncommon,Scrapermouth Mbuna,stecherdesgrauens,0.18,35,35
1717313019169,junk,Traffic Cone,staggerrilla,1.11,9,560
1717313041729,rare,Nimbochromis,bleepbloopinbot,3.26,71,537
1717313163891,uncommon,Murex Shellfish,necroso7,0.48,39,677
1717313302274,junk,CB Longneck,andrearghos,0.16,2,94
1717313420948,rare,Orange-Spotted Spinefoot,t0x1nXz,0.1,69,71
1717313612294,uncommon,Sea Urchin,stecherdesgrauens,0.17,26,61
1717313744474,common,Blue Discus,sirhunterr,0.2,20,197
1717313835739,rare,Arapaima,teegreeen,86,86,103
1717313857133,common,Trout,sasha5889,0.83,12,413
1717314021043,epic,Eagle Ray,leonidovy4,204,194,452
1717314042313,uncommon,Fish Fillet Burger,wiseshadow1990,1.08,5,5
1717314069028,rare,Rubber Ducky,lightb0011,0.11,107,593
1717314188983,uncommon,Watch,alfiMS,0.22,55,71
1717314219714,junk,Bike,staggerrilla,10.4,31,591
1717314241756,uncommon,Murex Shellfish,bleepbloopinbot,0.56,45,582
1717314323133,epic,Orange Discus,CHUCKY_XS,0.26,94,138
1717314657234,junk,Scooter,crayzeyez,16.6,55,393
1717314691617,junk,Can,lightb0011,0.52,5,598
1717314838004,uncommon,Triggerfish,Chimepa1,21,95,95
1717315419389,common,Mussel,staggerrilla,0.08,8,599
1717315440990,common,Black Spotted Grunt,bleepbloopinbot,5.6,22,604
1717315462701,uncommon,Starfish,lightb0011,0.09,28,626
1717315662418,rare,Arapaima,BeepsBPS,92,92,92
1717315790989,common,Salmon,ReioKimura,4.37,33,33
1717316236021,epic,Shrimp Toy,CHUCKY_XS,0.95,95,233
1717316330925,uncommon,Scrapermouth Mbuna,lightb0011,0.21,43,669
1717316352860,uncommon,Red Eye Fish,Chimepa1,2.8,39,134
1717316418687,common,Perch,leonidovy4,2.98,30,482
1717316619454,junk,Fish Cracker,staggerrilla,0.52,5,604
1717316641158,junk,Bike,bleepbloopinbot,8.8,27,631
1717316791155,rare,Clownfish,mva255,0.18,79,79
1717317020658,junk,Henry's Shoe,Chimepa1,2.01,5,139
1717317124845,junk,Some Keys,CHUCKY_XS,0.19,9,242
1717317146543,junk,Bike,sasha5889,9,27,440
1717317324454,legendary,Manta Ray,alfiMS,1,544,615
1717317346868,rare,Parrot Fish,lightb0011,1.76,62,731
1717317483245,common,Mackerel,Ura3535,1.71,17,17
1717317807478,legendary,Manta Ray,CHUCKY_XS,1,528,770
1717317830123,uncommon,Triggerfish,staggerrilla,16.6,75,679
1717317851936,uncommon,Streaked Spinefoot,bleepbloopinbot,0.16,33,664
1717317946616,rare,Oreochromis,stecherdesgrauens,2,67,128
1717317968921,rare,Green Sea Turtle,Chimepa1,134,59,198
1717318027807,epic,Swordfish,athne1,271,217,217
1717318049948,junk,Scooter,sasha5889,14.7,49,489
1717318117788,common,Mackerel,miflames,2.11,21,21
1717318298295,rare,Tuna,sirhunterr,245,117,314
1717318703741,common,Barracuda,kolyaoleksyuk,9,30,60
1717318856422,common,Mussel,alfiMS,0.1,10,625
1717318879701,epic,Shrimp Toy,Chimepa1,1.06,106,304
1717318926635,common,Blue Discus,athne1,0.22,22,239
1717318948334,common,Perch,puninupp,2.72,27,27
1717319020651,common,Perch,staggerrilla,2.71,27,706
1717319041979,junk,Tire,bleepbloopinbot,25,8,672
1717319134023,rare,Red Discus,lightb0011,0.44,99,830
1717319195343,uncommon,Murex Shellfish,t0x1nXz,0.42,34,105
1717319436871,rare,Sailfish,Qwenphy,61,79,79
1717319496793,rare,Big Mamma Pickle,teegreeen,0.48,95,198
